LAND        ,NAME                                            ,DATUM           ,DAUER   ,WO        ,KATEGORIE                ,GENRES                                                                                                                            ,STADT                     ,BUNDESLAND       ,BESUCHER    ,URL                                  ,PREIS(AB)
Deutschland ,BLUES SCHMUS & APFELMUS FESTIVAL                ,23.08. - 25.08. ,3 Tage  ,draußen   ,Blues Festivals          ,Blues/Rock                                                                                                                        ,Laubach                   ,keine Daten      ,10000       ,          ,€ 28.00
Deutschland ,BLUESFASCHING APOLDA                            ,09.02. - 10.02. ,2 Tage  ,drinnen   ,Blues Festivals          ,Blues                                                                                                                             ,Apolda                    ,keine Daten      ,1200        ,          ,€ 49.50
Deutschland ,BOARSTREAM OPEN AIR                             ,21.06. - 23.06. ,3 Tage  ,draußen   ,Metal Festivals          ,Metal/Rock                                                                                                                        ,Buchenbach                ,keine Daten      ,keine Daten ,          ,n.v.
Deutschland ,BOCHUM TOTAL                                    ,04.07. - 07.07. ,4 Tage  ,draußen   ,Gemischte Festivals      ,Deutschrock/Electro/Hardcore (Electro)/Hip-Hop/Pop/Punk/Rock/Sonstiges                                                            ,Bochum                    ,keine Daten      ,800000      ,          ,€ 0.00
Deutschland ,BORNA OPEN AIR                                  ,28.06. - 29.06. ,2 Tage  ,draußen   ,Rock Festivals           ,Rock                                                                                                                              ,Borna                     ,keine Daten      ,keine Daten ,          ,n.v.
Deutschland ,BRASS WIESN FESTIVAL                            ,01.08. - 04.08. ,4 Tage  ,draußen   ,Volksmusik Festivals     ,Hip-Hop/Rock/Ska/Volksmusik                                                                                                       ,Eching                    ,keine Daten      ,15000       ,          ,€ 149.99
Deutschland ,BREAK THE RULES FESTIVAL                        ,25.07. - 28.07. ,4 Tage  ,draußen   ,Gemischte Festivals      ,Electro/Electronic Dance Music (EDM)/Hip-Hop/House/Pop                                                                            ,Klitten                   ,keine Daten      ,keine Daten ,          ,€ 89.90
Deutschland ,BREMINALE                                       ,03.07. - 07.07. ,5 Tage  ,draußen   ,Kunst & Kultur Festivals ,Electro/Kunst & Kultur/Pop/Rock                                                                                                   ,Bremen                    ,keine Daten      ,200000      ,          ,€ 0.00
Deutschland ,BURGBRAND OPEN AIR                              ,01.08. - 03.08. ,3 Tage  ,draußen   ,Metal Festivals          ,Deutschrock/Metal/Rock                                                                                                            ,Gerstungen                ,keine Daten      ,1300        ,          ,€ 45.00
Deutschland ,BURNING BEACH FESTIVAL                          ,14.06. - 16.06. ,3 Tage  ,draußen   ,Electro Festivals        ,Electro/Goa/Hardcore (Electro)/Trance                                                                                             ,Pleinfeld                 ,keine Daten      ,keine Daten ,          ,€ 100.50
Deutschland ,BURNING Q FESTIVAL                              ,26.07. - 27.07. ,2 Tage  ,draußen   ,Metal Festivals          ,Metal                                                                                                                             ,Osterholz-Scharmbeck      ,keine Daten      ,999         ,          ,€ 66.66
Deutschland ,CAMPUS FESTIVAL KONSTANZ                        ,10.05. - 11.05. ,2 Tage  ,draußen   ,Gemischte Festivals      ,Dance/Electro/Rock                                                                                                                ,Konstanz                  ,keine Daten      ,20500       ,          ,€ 90.00
Deutschland ,CAMPUSFESTIVAL MITTWEIDA                        ,05.06. - 06.06. ,2 Tage  ,draußen   ,Gemischte Festivals      ,Deutschrock/Funk/Hip-Hop/Pop/Rock/Sonstiges                                                                                       ,Mittweida                 ,keine Daten      ,500         ,          ,n.v.
Deutschland ,CHRONICAL MOSHERS OPEN AIR                      ,07.06. - 09.06. ,3 Tage  ,draußen   ,Metal Festivals          ,Metal                                                                                                                             ,Heinsdorfergrund          ,keine Daten      ,1000        ,          ,n.v.
Deutschland ,CITY OF SEEKERS                                 ,06.06. - 09.06. ,4 Tage  ,draußen   ,Gemischte Festivals      ,Dance/Kunst & Kultur                                                                                                              ,Hameln OT Halvestorf      ,keine Daten      ,250         ,          ,n.v.
Deutschland ,COUNTRYFEST EICHELSDORF                         ,12.07. - 13.07. ,2 Tage  ,draußen   ,Country Festivals        ,Country                                                                                                                           ,Eichelsdorf               ,keine Daten      ,2000        ,          ,€ 0.00
Deutschland ,DAMNED DAYS                                     ,11.07. - 13.07. ,3 Tage  ,draußen   ,Metal Festivals          ,Metal                                                                                                                             ,Barleben                  ,keine Daten      ,keine Daten ,          ,€ 0.00
